Company,Symbol,Sector,Ratings
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP.NS,Healthcare,5
Britannia Industries Ltd.,BRITANNIA.NS,Fast Moving Consumer Goods,5
Cipla Ltd.,CIPLA.NS,Healthcare,5
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,Healthcare,5
Hindustan Unilever Ltd.,HINDUNILVR.NS,Fast Moving Consumer Goods,5
ITC Ltd.,ITC.NS,Fast Moving Consumer Goods,5
Nestle India Ltd.,NESTLEIND.NS,Fast Moving Consumer Goods,5
Sun Pharmaceutical Industries Ltd.,SUNPHARMA.NS,Healthcare,5
Tata Consumer Products Ltd.,TATACONSUM.NS,Fast Moving Consumer Goods,5
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS.NS,Services,4
Bharti Airtel Ltd.,BHARTIARTL.NS,Telecommunication,4
HCL Technologies Ltd.,HCLTECH.NS,Information Technology,4
Infosys Ltd.,INFY.NS,Information Technology,4
NTPC Ltd.,NTPC.NS,Power,4
Power Grid Corporation of India Ltd.,POWERGRID.NS,Power,4
Tata Consultancy Services Ltd.,TCS.NS,Information Technology,4
Tech Mahindra Ltd.,TECHM.NS,Information Technology,4
Trent Ltd.,TRENT.NS,Consumer Services,4
Wipro Ltd.,WIPRO.NS,Information Technology,4
Asian Paints Ltd.,ASIANPAINT.NS,Consumer Durables,3
Axis Bank Ltd.,AXISBANK.NS,Financial Services,3
Bajaj Finance Ltd.,BAJFINANCE.NS,Financial Services,3
Bajaj Finserv Ltd.,BAJAJFINSV.NS,Financial Services,3
Bharat Petroleum Corporation Ltd.,BPCL.NS,Oil Gas & Consumable Fuels,3
Coal India Ltd.,COALINDIA.NS,Oil Gas & Consumable Fuels,3
Grasim Industries Ltd.,GRASIM.NS,Construction Materials,3
HDFC Bank Ltd.,HDFCBANK.NS,Financial Services,3
HDFC Life Insurance Company Ltd.,HDFCLIFE.NS,Financial Services,3
ICICI Bank Ltd.,ICICIBANK.NS,Financial Services,3
IndusInd Bank Ltd.,INDUSINDBK.NS,Financial Services,3
Kotak Mahindra Bank Ltd.,KOTAKBANK.NS,Financial Services,3
Oil & Natural Gas Corporation Ltd.,ONGC.NS,Oil Gas & Consumable Fuels,3
Reliance Industries Ltd.,RELIANCE.NS,Oil Gas & Consumable Fuels,3
SBI Life Insurance Company Ltd.,SBILIFE.NS,Financial Services,3
Shriram Finance Ltd.,SHRIRAMFIN.NS,Financial Services,3
State Bank of India,SBIN.NS,Financial Services,3
Titan Company Ltd.,TITAN.NS,Consumer Durables,3
UltraTech Cement Ltd.,ULTRACEMCO.NS,Construction Materials,3
Adani Enterprises Ltd.,ADANIENT.NS,Metals & Mining,2
Bajaj Auto Ltd.,BAJAJ-AUTO.NS,Automobile and Auto Components,2
Bharat Electronics Ltd.,BEL.NS,Capital Goods,2
Eicher Motors Ltd.,EICHERMOT.NS,Automobile and Auto Components,2
Hero MotoCorp Ltd.,HEROMOTOCO.NS,Automobile and Auto Components,2
Hindalco Industries Ltd.,HINDALCO.NS,Metals & Mining,2
JSW Steel Ltd.,JSWSTEEL.NS,Metals & Mining,2
Larsen & Toubro Ltd.,LT.NS,Construction,2
Mahindra & Mahindra Ltd.,M&M.NS,Automobile and Auto Components,2
Maruti Suzuki India Ltd.,MARUTI.NS,Automobile and Auto Components,2
Tata Motors Ltd.,TATAMOTORS.NS,Automobile and Auto Components,2
Tata Steel Ltd.,TATASTEEL.NS,Metals & Mining,2
